nodenumber     x-coordinate     y-coordinate     z-coordinate      temperature 
        78  1.187324544E-10  6.292780017E-05  1.600000076E-02  3.731350708E+02 
        79  7.396148971E-11  3.070792882E-03  1.600000076E-02  3.731333618E+02 
        80  2.290853618E-11  5.433392711E-03  1.600000076E-02  3.731308594E+02 
        81  2.797940352E-11  7.411433384E-03  1.600000076E-02  3.731281128E+02 
        82  2.356345952E-10  1.187863015E-02  1.600000076E-02  3.731189575E+02 
        83 -1.226234669E-10  1.613201760E-02  1.600000076E-02  3.731082153E+02 
        84  7.279307712E-11  2.033977211E-02  1.600000076E-02  3.730968933E+02 
        85 -2.635462515E-09  2.500000037E-02  1.600000076E-02  3.730855408E+02 
        86  5.905052558E-10 -2.500000037E-02  1.999999955E-02  3.730856934E+02 
        87 -1.700606322E-11 -2.035815828E-02  1.999999955E-02  3.730972595E+02 
        88 -8.006395547E-11 -1.615167223E-02  1.999999955E-02  3.731088867E+02 
        89 -1.924526649E-10 -1.219676808E-02  1.999999955E-02  3.731193848E+02 
        90  8.326457579E-12 -8.720454760E-03  1.999999955E-02  3.731270752E+02 
        91  2.119401876E-12 -5.612935871E-03  1.999999955E-02  3.731319885E+02 
        92  8.230077730E-11 -5.501045845E-03  1.999999955E-02  3.731321716E+02 
        93 -1.723041432E-10 -2.388990950E-03  1.999999955E-02  3.731348267E+02 
        94  8.539835505E-13 -3.428671043E-04  1.999999955E-02  3.731355591E+02 
        95  1.114564968E-10  6.292777834E-05  1.999999955E-02  3.731356201E+02 
        96  7.396148971E-11  3.070792882E-03  1.999999955E-02  3.731339111E+02 
        97  2.407790634E-11  5.433392711E-03  1.999999955E-02  3.731314087E+02 
        98 -3.988909897E-11  7.411432918E-03  1.999999955E-02  3.731286621E+02 
        99  2.356345952E-10  1.187863015E-02  1.999999955E-02  3.731194763E+02 
       100 -6.441580602E-11  1.613201760E-02  1.999999955E-02  3.731086731E+02 
       101  1.346387168E-10  2.033977211E-02  1.999999955E-02  3.730971069E+02 
       102 -2.556780343E-09  2.500000037E-02  1.999999955E-02  3.730857239E+02 
       103  5.118230839E-10 -2.500000037E-02  2.400000021E-02  3.730858459E+02 
       104 -1.700606322E-11 -2.035815828E-02  2.400000021E-02  3.730974426E+02 
       105  5.049402563E-11 -1.615167223E-02  2.400000021E-02  3.731093140E+02 
       106 -1.924526649E-10 -1.219676808E-02  2.400000021E-02  3.731198730E+02 
       107 -1.034719879E-11 -8.720454760E-03  2.400000021E-02  3.731276245E+02 
       108 -3.992100400E-11 -5.612935871E-03  2.400000021E-02  3.731325378E+02 
       109  3.895783696E-11 -5.501045845E-03  2.400000021E-02  3.731327209E+02 
       110 -3.815800453E-11 -2.388990950E-03  2.400000021E-02  3.731353760E+02 
       111  4.878116140E-12 -3.428672790E-04  2.400000021E-02  3.731361084E+02 
       112  8.235266635E-11  6.292776379E-05  2.400000021E-02  3.731362000E+02 
       113  7.396148971E-11  3.070792882E-03  2.400000021E-02  3.731344604E+02 
       114  2.290853618E-11  5.433392711E-03  2.399999835E-02  3.731319580E+02 
       115  2.797940352E-11  7.411433384E-03  2.400000021E-02  3.731291504E+02 
       116  2.356345952E-10  1.187863015E-02  2.400000021E-02  3.731199341E+02 
       117 -3.531197557E-11  1.613201760E-02  2.400000021E-02  3.731090088E+02 
       118  1.855704201E-10  2.033977211E-02  2.400000021E-02  3.730973816E+02 
       119 -2.478098171E-09  2.500000037E-02  2.400000021E-02  3.730857849E+02 
       120  4.331409398E-10 -2.500000037E-02  2.800000086E-02  3.730859070E+02 
       121 -7.521372414E-11 -2.035815828E-02  2.800000086E-02  3.730977173E+02 
       122  5.049402563E-11 -1.615167223E-02  2.800000086E-02  3.731096802E+02 
       123 -5.107056444E-11 -1.219676808E-02  2.800000086E-02  3.731203613E+02 
       124 -1.034719879E-11 -8.720454760E-03  2.800000086E-02  3.731281433E+02 
       125 -3.810201460E-11 -5.612935871E-03  2.800000086E-02  3.731331177E+02 
       126  4.077682636E-11 -5.501045845E-03  2.800000086E-02  3.731332397E+02 
       127 -3.815800453E-11 -2.388990950E-03  2.800000086E-02  3.731358948E+02 
       128  1.806007600E-12 -3.428671625E-04  2.800000086E-02  3.731366882E+02 
       129  1.041805392E-10  6.292778562E-05  2.800000086E-02  3.731367798E+02 
       130  7.396148971E-11  3.070792882E-03  2.800000086E-02  3.731349487E+02 
       131  2.407790634E-11  5.433392711E-03  2.800000086E-02  3.731324463E+02 
       132 -3.988909897E-11  7.411432918E-03  2.800000086E-02  3.731296692E+02 
       133 -1.442826969E-10  1.187863015E-02  2.800000086E-02  3.731204529E+02 
       134  4.503240836E-11  1.613201760E-02  2.800000086E-02  3.731094360E+02 
       135 -1.917948855E-10  2.033977211E-02  2.800000086E-02  3.730976868E+02 
       136 -2.399415999E-09  2.500000037E-02  2.800000086E-02  3.730859070E+02 
       137  3.544588234E-10 -2.500000037E-02  3.200000152E-02  3.730859985E+02 
       138 -1.916290460E-10 -2.035815828E-02  3.200000152E-02  3.730979309E+02 
       139 -7.713635286E-12 -1.615167223E-02  3.200000152E-02  3.731101074E+02 
       140 -1.303294833E-10 -1.219676808E-02  3.200000152E-02  3.731208801E+02 
       141  8.297529330E-14 -8.720454760E-03  3.200000152E-02  3.731287537E+02 
       142 -1.787092696E-11 -5.612935405E-03  3.200000152E-02  3.731336975E+02 
       143 -6.516898132E-12 -5.501045845E-03  3.200000152E-02  3.731338196E+02 
       144  1.225542584E-10 -2.388990717E-03  3.200000152E-02  3.731365051E+02 
       145 -8.077787571E-13 -3.428673663E-04  3.200000152E-02  3.731372375E+02 
       146  7.143872993E-11  6.292777107E-05  3.200000152E-02  3.731372986E+02 
       147  7.396148971E-11  3.070792882E-03  3.200000152E-02  3.731354980E+02 
       148  2.407790634E-11  5.433392711E-03  3.200000152E-02  3.731329956E+02 
       149 -3.988909897E-11  7.411432918E-03  3.200000152E-02  3.731301880E+02 
       150 -1.442826969E-10  1.187863015E-02  3.200000152E-02  3.731210022E+02 
       151  4.503240836E-11  1.613201760E-02  3.200000152E-02  3.731098633E+02 
       152 -1.315304671E-10  2.033977211E-02  3.200000152E-02  3.730979309E+02 
       153 -2.320733827E-09  2.500000037E-02  3.200000152E-02  3.730860291E+02 
       154  2.757766793E-10 -2.500000037E-02  3.599999845E-02  3.730861206E+02 
       155 -5.286251992E-11 -2.035816014E-02  3.600000218E-02  3.730982361E+02 
       156 -7.713635286E-12 -1.615167223E-02  3.600000218E-02  3.731105347E+02 
       157 -1.303294833E-10 -1.219676808E-02  3.600000218E-02  3.731213989E+02 
       158  1.436405855E-11 -8.720454760E-03  3.600000218E-02  3.731292419E+02 
       159  2.418804740E-11 -5.612934940E-03  3.600000218E-02  3.731342468E+02 
       160 -3.198274978E-11 -5.501045380E-03  3.600000218E-02  3.731344299E+02 
       161  9.345042795E-11 -2.388990717E-03  3.600000218E-02  3.731370239E+02 
       162  6.742696679E-13 -3.428673663E-04  3.600000218E-02  3.731377869E+02 
       163  6.052479351E-11  6.292779290E-05  3.600000218E-02  3.731378479E+02 
       164  7.396148971E-11  3.070792882E-03  3.600000218E-02  3.731360779E+02 
